F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_012.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_012.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_012.jpg, 0, 0, 0, 8.234715E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_119.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_119.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_119.jpg, 0, 0, 0, 8.231799E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_250.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_250.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_250.jpg, 0, 0, 0, 8.206658E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_351.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_351.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_351.jpg, 0, 0, 0, 8.174049E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_454.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_454.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_454.jpg, 0, 0, 0, 8.176616E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_567.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_567.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_567.jpg, 0, 0, 0, 8.181046E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_669.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_669.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_669.jpg, 0, 0, 0, 8.195193E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_772.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_772.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_772.jpg, 0, 0, 0, 8.24622E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_877.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_877.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_877.jpg, 0, 0, 0, 8.170759E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_56_984.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_56_984.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_56_984.jpg, 0, 0, 0, 8.195938E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_57_089.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_57_089.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_57_089.jpg, 0, 0, 0, 8.183067E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_57_190.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_57_190.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_57_190.jpg, 0, 0, 0, 8.153496E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_57_294.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_57_294.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_57_294.jpg, 0, 0, 0, 8.188109E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_57_401.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_57_401.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_57_401.jpg, 0, 0, 0, 8.166389E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_57_505.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_57_505.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_57_505.jpg, 0, 0, 0, 8.221329E-05
F:\simulator\simulator-windows-64\IMG\center_2021_03_21_11_09_57_608.jpg, F:\simulator\simulator-windows-64\IMG\left_2021_03_21_11_09_57_608.jpg, F:\simulator\simulator-windows-64\IMG\right_2021_03_21_11_09_57_608.jpg, 0, 0.3059172, 0, 0.3338116
